# Matter power spectrum P(k) at redshift z=2
# for k=1.03955e-05 to 53.1956 h/Mpc,
# number of wavenumbers equal to 620
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.341372533177e-02       4.456546806700e+03 
       1.354210109800e-02       4.464322017481e+03 
       1.367051311290e-02       4.471701596382e+03 
       1.379896148180e-02       4.478706033473e+03 
       1.392744633314e-02       4.485321654891e+03 
       1.405596781811e-02       4.491565204114e+03 
       1.418452611030e-02       4.497433769786e+03 
       1.431312140538e-02       4.502936602965e+03 
       1.444175392083e-02       4.508077212688e+03 
       1.457042389569e-02       4.512859163225e+03 
       1.469913159036e-02       4.517287339978e+03 
       1.482787728638e-02       4.521367507747e+03 
       1.495666128631e-02       4.525101646398e+03 
       1.508548391358e-02       4.528503186443e+03 
       1.521434551237e-02       4.531565995148e+03 
       1.534324644752e-02       4.534292769494e+03 
       1.547218710453e-02       4.536704468534e+03 
       1.560116788943e-02       4.538795404495e+03 
       1.573018922884e-02       4.540560830613e+03 
       1.585925156992e-02       4.542020183793e+03 
       1.598835538045e-02       4.543163131266e+03 
       1.611750114883e-02       4.544006544331e+03 
       1.624668938416e-02       4.544545397092e+03 
       1.637592061632e-02       4.544786380105e+03 
       1.650519539609e-02       4.544733756887e+03 
       1.663451429525e-02       4.544398329874e+03 
       1.676387790673e-02       4.543766345525e+03 
       1.689328684478e-02       4.542867605458e+03 
       1.702274174510e-02       4.541682003831e+03 
       1.715224326507e-02       4.540231230800e+03 
       1.728179208396e-02       4.538502874142e+03 
       1.741138890313e-02       4.536513545663e+03 
       1.754103444628e-02       4.534267959014e+03 
       1.767072945972e-02       4.531758681742e+03 
       1.780047471265e-02       4.529000179556e+03 
       1.793027099742e-02       4.525986122369e+03 
       1.806011912987e-02       4.522693504613e+03 
       1.819001994964e-02       4.519188610749e+03 
       1.831997432051e-02       4.515458498939e+03 
       1.844998313077e-02       4.511503824273e+03 
       1.858004729358e-02       4.507265166348e+03 
       1.871016774738e-02       4.502884598215e+03 
       1.884034545629e-02       4.498222471369e+03 
       1.897058141053e-02       4.493305115061e+03 
       1.910087662686e-02       4.488249636992e+03 
       1.923123214907e-02       4.482940672857e+03 
