# Matter power spectrum P(k) at redshift z=3.2
# for k=1.03955e-05 to 53.1956 h/Mpc,
# number of wavenumbers equal to 620
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.341372533177e-02       2.317116876418e+03 
       1.354210109800e-02       2.321159631853e+03 
       1.367051311290e-02       2.324999207061e+03 
       1.379896148180e-02       2.328638781550e+03 
       1.392744633314e-02       2.332079498530e+03 
       1.405596781811e-02       2.335325130982e+03 
       1.418452611030e-02       2.338376898693e+03 
       1.431312140538e-02       2.341238093343e+03 
       1.444175392083e-02       2.343910936921e+03 
       1.457042389569e-02       2.346397736090e+03 
       1.469913159036e-02       2.348700336854e+03 
       1.482787728638e-02       2.350822437549e+03 
       1.495666128631e-02       2.352765710464e+03 
       1.508548391358e-02       2.354536628052e+03 
       1.521434551237e-02       2.356125116121e+03 
       1.534324644752e-02       2.357546367447e+03 
       1.547218710453e-02       2.358798942116e+03 
       1.560116788943e-02       2.359884167875e+03 
       1.573018922884e-02       2.360804129235e+03 
       1.585925156992e-02       2.361561091914e+03 
       1.598835538045e-02       2.362157043849e+03 
       1.611750114883e-02       2.362594278265e+03 
       1.624668938416e-02       2.362874565630e+03 
       1.637592061632e-02       2.363000165845e+03 
       1.650519539609e-02       2.362974552186e+03 
       1.663451429525e-02       2.362798931332e+03 
       1.676387790673e-02       2.362473339611e+03 
       1.689328684478e-02       2.362003399936e+03 
       1.702274174510e-02       2.361389228042e+03 
       1.715224326507e-02       2.360632923871e+03 
       1.728179208396e-02       2.359736399340e+03 
       1.741138890313e-02       2.358702816227e+03 
       1.754103444628e-02       2.357532636860e+03 
       1.767072945972e-02       2.356229340377e+03 
       1.780047471265e-02       2.354794052335e+03 
       1.793027099742e-02       2.353228832240e+03 
       1.806011912987e-02       2.351535039307e+03 
       1.819001994964e-02       2.349713552637e+03 
       1.831997432051e-02       2.347773400863e+03 
       1.844998313077e-02       2.345705838408e+03 
       1.858004729358e-02       2.343518899341e+03 
       1.871016774738e-02       2.341216195406e+03 
       1.884034545629e-02       2.338793362849e+03 
       1.897058141053e-02       2.336257457415e+03 
       1.910087662686e-02       2.333608244309e+03 
       1.923123214907e-02       2.330847319537e+03 
       1.936164904842e-02       2.327976944703e+03 
