# Matter power spectrum P(k) at redshift z=2.8
# for k=1.03955e-05 to 53.1956 h/Mpc,
# number of wavenumbers equal to 620
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.039554593366e-05       5.735351354141e+00 
       2.321625872476e-05       1.241344800908e+01 
       3.608162361189e-05       1.896319410641e+01 
       4.902593216740e-05       2.545947313281e+01 
       6.208403777342e-05       3.194416211493e+01 
       7.529166351078e-05       3.844820177514e+01 
       8.868571980328e-05       4.499776272573e+01 
       1.023046360059e-04       5.161675830971e+01 
       1.161887101575e-04       5.832812301402e+01 
       1.303804811523e-04       6.515457852887e+01 
       1.449251275914e-04       7.211915888293e+01 
       1.598708975225e-04       7.924561345342e+01 
       1.752695731100e-04       8.655874711610e+01 
       1.911769739295e-04       9.408472674019e+01 
       2.076535019659e-04       1.018513733239e+02 
       2.247647303764e-04       1.098884481322e+02 
       2.425820365134e-04       1.182279391540e+02 
       2.611832773708e-04       1.269043491247e+02 
       2.806535022682e-04       1.359549833870e+02 
       3.010856929055e-04       1.454202338676e+02 
       3.225815145524e-04       1.553438503650e+02 
       3.452520536855e-04       1.657731858572e+02 
       3.692185065006e-04       1.767593991405e+02 
       3.946127691316e-04       1.883575889808e+02 
       4.215778641091e-04       2.006268286354e+02 
       4.502681190242e-04       2.136300617066e+02 
       4.808489937476e-04       2.274338099695e+02 
       5.134964341804e-04       2.421076412813e+02 
       5.483956171584e-04       2.577233395974e+02 
       5.857389482102e-04       2.743537205171e+02 
       6.257231883267e-04       2.920710551217e+02 
       6.685456253480e-04       3.109450760628e+02 
       7.143992765011e-04       3.310405925155e+02 
       7.634672135018e-04       3.524147825615e+02 
       8.159162353344e-04       3.751143050369e+02 
       8.718902605670e-04       3.991724305241e+02 
       9.315039436829e-04       4.246064444755e+02 
       9.948371036618e-04       4.514156095678e+02 
       1.061930554494e-03       4.795799288057e+02 
       1.132783826807e-03       5.090599168562e+02 
       1.207355072330e-03       5.397974219338e+02 
       1.285563181864e-03       5.717174763787e+02 
       1.367291876660e-03       6.047294449456e+02 
       1.452395310759e-03       6.387314587434e+02 
       1.540704590804e-03       6.736187293084e+02 
       1.632034595892e-03       7.092793893515e+02 
       1.726190550459e-03       7.456004967672e+02 
       1.822973935770e-03       7.824706620129e+02 
       1.922187482213e-03       8.197821831781e+02 
       2.023639132649e-03       8.574326436159e+02 
       2.127144985949e-03       8.953260643209e+02 
       2.232531311321e-03       9.333736120912e+02 
       2.339635769667e-03       9.714939365613e+02 
       2.448307994782e-03       1.009613411739e+03 
       2.558409683680e-03       1.047665635222e+03 
       2.669814329643e-03       1.085591498732e+03 
       2.782406710372e-03       1.123338600882e+03 
       2.896082221162e-03       1.160860823526e+03 
       3.010746122088e-03       1.198116735623e+03 
       3.126312750042e-03       1.235071425133e+03 
       3.242704731602e-03       1.271693764518e+03 
       3.359852221003e-03       1.307956583215e+03 
       3.477692178583e-03       1.343836723804e+03 
       3.596167698542e-03       1.379313916290e+03 
       3.715227390163e-03       1.414371274512e+03 
       3.834824813398e-03       1.448993846257e+03 
       3.954917967587e-03       1.483169506185e+03 
       4.075468830736e-03       1.516887925203e+03 
       4.196442945959e-03       1.550140273061e+03 
       4.317809051348e-03       1.582919853982e+03 
       4.439538749395e-03       1.615221107354e+03 
       4.561606212177e-03       1.647039529043e+03 
       4.683987918652e-03       1.678371838874e+03 
       4.806662420714e-03       1.709215679490e+03 
       4.929610134858e-03       1.739569692145e+03 
       5.052813156653e-03       1.769433136177e+03 
       5.176255095446e-03       1.798806546594e+03 
       5.299920927018e-03       1.827690216982e+03 
       5.423796862150e-03       1.856084584088e+03 
       5.547870229274e-03       1.883993058502e+03 
       5.672129369620e-03       1.911416313699e+03 
       5.796563543411e-03       1.938357346151e+03 
       5.921162845873e-03       1.964818746461e+03 
       6.045918131938e-03       1.990804208102e+03 
       6.170820948655e-03       2.016315517251e+03 
       6.295863474469e-03       2.041357097762e+03 
       6.421038464583e-03       2.065931790187e+03 
       6.546339201744e-03       2.090043531182e+03 
       6.671759451864e-03       2.113696746955e+03 
       6.797293423941e-03       2.136894798899e+03 
       6.922935733829e-03       2.159640980487e+03 
       7.048681371440e-03       2.181940948418e+03 
       7.174525671028e-03       2.203797367278e+03 
       7.300464284221e-03       2.225214710990e+03 
       7.426493155525e-03       2.246198431626e+03 
       7.552608500044e-03       2.266752603481e+03 
       7.678806783202e-03       2.286879659814e+03 
       7.805084702251e-03       2.306586427130e+03 
       7.931439169404e-03       2.325876420891e+03 
       8.057867296419e-03       2.344752831385e+03 
       8.184366380511e-03       2.363221854735e+03 
       8.310933891452e-03       2.381286087356e+03 
       8.437567459747e-03       2.398973656194e+03 
       8.564264865796e-03       2.416309104813e+03 
       8.691024029938e-03       2.433195665821e+03 
       8.817843003303e-03       2.449683315201e+03 
       8.944719959402e-03       2.465787178873e+03 
       9.071653186381e-03       2.481513541037e+03 
       9.198641079881e-03       2.496868105366e+03 
       9.325682136463e-03       2.511855235555e+03 
       9.452774947534e-03       2.526475111363e+03 
       9.579918193735e-03       2.540732952664e+03 
       9.707110639761e-03       2.554634400425e+03 
       9.834351129567e-03       2.568181094710e+03 
       9.961638581928e-03       2.581375330332e+03 
       1.008897198633e-02       2.594225773171e+03 
       1.021635039917e-02       2.606737014670e+03 
       1.034377294021e-02       2.618910956864e+03 
       1.047123878932e-02       2.630753377469e+03 
       1.059874718342e-02       2.642265010421e+03 
       1.072629741368e-02       2.653451296961e+03 
       1.085388882286e-02       2.664317560444e+03 
       1.098152080293e-02       2.674864809122e+03 
       1.110919279274e-02       2.685097502135e+03 
       1.123690427598e-02       2.695020448144e+03 
       1.136465477916e-02       2.704635619842e+03 
       1.149244386983e-02       2.713947479031e+03 
       1.162027115487e-02       2.722958622758e+03 
       1.174813627892e-02       2.731674245529e+03 
       1.187603892289e-02       2.740096851196e+03 
       1.200397880263e-02       2.748229448313e+03 
       1.213195566765e-02       2.756075978960e+03 
       1.225996929991e-02       2.763640358422e+03 
       1.238801951276e-02       2.770925257299e+03 
       1.251610614994e-02       2.777934111471e+03 
