# Matter power spectrum P(k) at redshift z=2.4
# for k=1.03955e-05 to 53.1956 h/Mpc,
# number of wavenumbers equal to 620
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.341372533177e-02       3.501496548931e+03 
       1.354210109800e-02       3.507605496085e+03 
       1.367051311290e-02       3.513406914413e+03 
       1.379896148180e-02       3.518907224949e+03 
       1.392744633314e-02       3.524105692539e+03 
       1.405596781811e-02       3.529010640639e+03 
       1.418452611030e-02       3.533622080717e+03 
       1.431312140538e-02       3.537945500055e+03 
       1.444175392083e-02       3.541984349350e+03 
       1.457042389569e-02       3.545741965963e+03 
       1.469913159036e-02       3.549221228539e+03 
       1.482787728638e-02       3.552427740697e+03 
       1.495666128631e-02       3.555362223592e+03 
       1.508548391358e-02       3.558036542653e+03 
       1.521434551237e-02       3.560440322527e+03 
       1.534324644752e-02       3.562584541518e+03 
       1.547218710453e-02       3.564479545675e+03 
       1.560116788943e-02       3.566120422104e+03 
       1.573018922884e-02       3.567509399467e+03 
       1.585925156992e-02       3.568654239837e+03 
       1.598835538045e-02       3.569554647866e+03 
       1.611750114883e-02       3.570215059993e+03 
       1.624668938416e-02       3.570638357901e+03 
       1.637592061632e-02       3.570827824981e+03 
       1.650519539609e-02       3.570788817882e+03 
       1.663451429525e-02       3.570523156948e+03 
       1.676387790673e-02       3.570029068539e+03 
       1.689328684478e-02       3.569320615226e+03 
       1.702274174510e-02       3.568391723430e+03 
       1.715224326507e-02       3.567249331613e+03 
       1.728179208396e-02       3.565893687278e+03 
       1.741138890313e-02       3.564330731100e+03 
       1.754103444628e-02       3.562564114673e+03 
       1.767072945972e-02       3.560593504040e+03 
       1.780047471265e-02       3.558425488551e+03 
       1.793027099742e-02       3.556058943462e+03 
       1.806011912987e-02       3.553499459269e+03 
       1.819001994964e-02       3.550746841601e+03 
       1.831997432051e-02       3.547814983605e+03 
       1.844998313077e-02       3.544689872988e+03 
       1.858004729358e-02       3.541385704831e+03 
       1.871016774738e-02       3.537906906242e+03 
       1.884034545629e-02       3.534245504023e+03 
       1.897058141053e-02       3.530412202434e+03 
       1.910087662686e-02       3.526410016537e+03 
       1.923123214907e-02       3.522237055966e+03 
       1.936164904842e-02       3.517899882795e+03 
       1.949212842419e-02       3.513393084784e+03 
       1.962267140414e-02       3.508741132889e+03 
       1.975327914506e-02       3.503918147113e+03 
       1.988395283336e-02       3.498949879704e+03 
       2.001469368562e-02       3.493821009471e+03 
       2.014550294914e-02       3.488549340399e+03 
       2.027638190265e-02       3.483131015251e+03 
       2.040733185685e-02       3.477560219713e+03 
       2.053835415511e-02       3.471856996796e+03 
       2.066945017417e-02       3.466011915309e+03 
       2.080062132478e-02       3.460026302210e+03 
       2.093186905248e-02       3.453904304523e+03 
       2.106319483831e-02       3.447655647134e+03 
       2.119460019958e-02       3.441274418317e+03 
       2.132608669070e-02       3.434765833577e+03 
       2.145765590396e-02       3.428134090517e+03 
       2.158930947039e-02       3.421376841952e+03 
       2.172104906064e-02       3.414499312772e+03 
       2.185287638586e-02       3.407506023707e+03 
       2.198479319866e-02       3.400389559081e+03 
       2.211680129404e-02       3.393174541222e+03 
       2.224890251037e-02       3.385844495545e+03 
       2.238109873044e-02       3.378393230738e+03 
       2.251339188248e-02       3.370843484246e+03 
       2.264578394127e-02       3.363186656717e+03 
       2.277827692923e-02       3.355427165377e+03 
       2.291087291758e-02       3.347578568538e+03 
       2.304357402754e-02       3.339615461788e+03 
       2.317638243154e-02       3.331560458245e+03 
       2.330930035449e-02       3.323416480695e+03 
       2.344233007508e-02       3.315190441208e+03 
       2.357547392713e-02       3.306854640291e+03 
       2.370873430097e-02       3.298441550966e+03 
       2.384211364487e-02       3.289936926519e+03 
       2.397561446655e-02       3.281351586475e+03 
       2.410923933465e-02       3.272683263405e+03 
       2.424299088034e-02       3.263938662979e+03 
       2.437687179893e-02       3.255110646947e+03 
       2.451088485157e-02       3.246207589413e+03 
       2.464503286695e-02       3.237234008262e+03 
       2.477931874311e-02       3.228183840029e+03 
       2.491374544928e-02       3.219059927788e+03 
       2.504831602780e-02       3.209869719195e+03 
       2.518303359606e-02       3.200620161376e+03 
       2.531790134858e-02       3.191302435331e+03 
       2.545292255909e-02       3.181912112443e+03 
       2.558810058270e-02       3.172465973578e+03 
       2.572343885821e-02       3.162964503060e+03 
       2.585894091033e-02       3.153397681420e+03 
       2.599461035220e-02       3.143774461269e+03 
       2.613045088782e-02       3.134098950554e+03 
       2.626646631462e-02       3.124368899722e+03 
       2.640266052619e-02       3.114586624581e+03 
       2.653903751497e-02       3.104751508419e+03 
       2.667560137515e-02       3.094877121225e+03 
       2.681235630561e-02       3.084944231149e+03 
       2.694930661304e-02       3.074980638968e+03 
